Time,PosX,PosY,PosZ,PredDx,PredDy,PredDz,UncertaintyX,UncertaintyY,UncertaintyZ,ActualDx,ActualDy,ActualDz, AdaptiveRSafe,CBFValue
25.3958,2.98413,-0.0289087,0.128526,0,0,0,0,0,0,0.195076,0.0415215,9.82352,0.5,15.6241
25.4958,2.98408,-0.0289942,0.128611,0,0,0,0,0,0,-0.0885554,0.49235,9.67312,0.5,15.6238
25.5958,2.98405,-0.029125,0.128685,0,0,0,0,0,0,0.279094,0.0523205,9.78441,0.5,15.6235
25.6958,2.98401,-0.0293032,0.128744,0.0248784,0.0378188,1.8891,0.179606,0.179606,0.179606,0.192244,0.0173645,9.8107,0.859212,15.1349
25.7959,2.98395,-0.0295834,0.128769,0.0480912,0.0596966,3.41819,0.156176,0.156176,0.156176,0.137112,-0.258079,9.82743,0.812352,15.2128
25.8958,2.98391,-0.0298064,0.128766,0.0665113,0.0613033,4.65295,0.140035,0.140035,0.140035,0.440876,-0.0488733,9.91313,0.78007,15.2639
25.9958,2.98383,-0.0300681,0.128736,0.0911079,0.0587639,5.65129,0.128049,0.128049,0.128049,0.110428,-0.672241,10.3206,0.756099,15.3002
26.0959,2.98373,-0.0303588,0.128715,0.108558,0.0364179,6.469,0.1187,0.1187,0.1187,-0.156195,0.427719,9.45902,0.737401,15.3273
26.1958,2.98362,-0.0307048,0.128703,0.114253,0.0304134,7.11623,0.111149,0.111149,0.111149,0.193876,0.105604,9.45242,0.722297,15.3485
26.2959,2.98345,-0.0310331,0.128692,0.120058,0.0277903,7.62845,0.104892,0.104892,0.104892,0.620311,-0.0368841,9.90517,0.709784,15.365
26.3958,2.98326,-0.0312634,0.128691,0.134165,0.0246151,8.04273,0.0995997,0.0995997,0.0995997,0.0394055,0.251155,9.87192,0.699199,15.3785
26.4958,2.98313,-0.0315646,0.128699,0.142723,0.026395,8.37726,0.0950385,0.0950385,0.0950385,0.0337914,-0.11824,9.59974,0.690077,15.3901
26.5959,2.98301,-0.0317397,0.128691,0.147196,0.0253019,8.64295,0.0910708,0.0910708,0.0910708,0.190972,0.565839,9.85867,0.682142,15.4
26.6959,2.98295,-0.0318237,0.128619,0.151172,0.0327806,8.85784,0.087553,0.087553,0.087553,0.224126,-0.472812,10.2255,0.675106,15.4091
26.7958,2.98294,-0.0317485,0.128466,0.155165,0.0311362,9.03698,0.0843987,0.0843987,0.0843987,0.177089,-0.453136,9.46855,0.668797,15.4176
26.8958,2.98294,-0.0317148,0.12833,0.158438,0.0234698,9.17651,0.0815345,0.0815345,0.0815345,0.0247102,0.269462,10.2551,0.663069,15.4252
26.9958,2.98297,-0.0318968,0.128217,0.159227,0.0207862,9.29463,0.0789516,0.0789516,0.0789516,0.154881,0.189013,10.0017,0.657903,15.4322
27.0959,2.98304,-0.0319679,0.128089,0.159769,0.0207396,9.39187,0.0766347,0.0766347,0.0766347,0.141223,-0.346625,9.59703,0.653269,15.4389
27.1958,2.98316,-0.0320528,0.127958,0.159973,0.0166271,9.46762,0.0744943,0.0744943,0.0744943,-0.0294974,0.799969,9.92262,0.648989,15.4454
27.2959,2.98332,-0.0322769,0.127801,0.158133,0.0217508,9.52982,0.0725293,0.0725293,0.0725293,0.340084,0.126419,9.26148,0.645059,15.4518
27.3959,2.98347,-0.0325679,0.127638,0.158556,0.0266952,9.57439,0.070749,0.070749,0.070749,0.434431,-0.710253,10.1584,0.641498,15.4575
27.4958,2.98373,-0.0328386,0.127474,0.161514,0.0234226,9.61392,0.0691278,0.0691278,0.0691278,0.0534704,0.629548,9.65604,0.638256,15.4638
27.5958,2.98395,-0.0331901,0.127336,0.162787,0.026464,9.64446,0.0676338,0.0676338,0.0676338,-1.03412,2.36397,9.75286,0.635268,15.4694
27.6958,2.98422,-0.0336403,0.127232,0.153246,0.0493327,9.66875,0.0662812,0.0662812,0.0662812,-0.929267,1.90389,9.7131,0.632562,15.475
27.7959,2.9845,-0.0338468,0.127131,0.136739,0.0826246,9.68771,0.0650787,0.0650787,0.0650787,-0.226767,-1.07993,9.36584,0.630157,15.4803
27.8959,2.98474,-0.034004,0.127033,0.121072,0.0987487,9.6996,0.0638821,0.0638821,0.0638821,0.631409,-1.54857,9.33404,0.627764,15.4852
27.996,2.98496,-0.0341144,0.126933,0.113018,0.0982032,9.70584,0.0627442,0.0627442,0.0627442,-0.199524,-0.709725,7.27091,0.625488,15.4898
28.0958,2.9852,-0.0343336,0.1268,0.104425,0.0916435,9.6921,0.0616592,0.0616592,0.0616592,0.282499,-1.09148,11.2921,0.623318,15.4945
28.1958,2.98537,-0.0345366,0.126689,0.0990806,0.0778586,9.6932,0.0607073,0.0607073,0.0607073,0.993929,-2.0769,9.84435,0.621415,15.4982
28.2958,2.98551,-0.034851,0.126558,0.101329,0.0517887,9.69507,0.0597891,0.0597891,0.0597891,0.93034,1.04814,9.23396,0.619578,15.5016
28.3958,2.98555,-0.0350283,0.126324,0.108821,0.0384967,9.69324,0.0589859,0.0589859,0.0589859,0.666333,1.04636,9.80659,0.617972,15.504
28.4959,2.98558,-0.035089,0.126177,0.11839,0.0350011,9.69253,0.0581629,0.0581629,0.0581629,0.519941,-0.840161,8.76873,0.616326,15.5062
28.5959,2.98544,-0.0347751,0.126129,0.128439,0.0265432,9.68589,0.057291,0.057291,0.057291,-0.280016,-0.929714,8.20949,0.614582,15.5072
28.696,2.98539,-0.0344015,0.126085,0.133614,0.0140012,9.67151,0.0561827,0.0561827,0.0561827,1.12794,0.693968,11.8055,0.612365,15.5095
28.7959,2.98521,-0.0340518,0.126074,0.143656,0.00847367,9.67346,0.0551445,0.0551445,0.0551445,-0.597059,2.67253,13.6816,0.610289,15.5106
28.8958,2.9849,-0.0337623,0.126037,0.147062,0.0198688,9.69856,0.0541476,0.0541476,0.0541476,-2.36622,0.73695,12.328,0.608295,15.5106
28.9958,2.98449,-0.0335939,0.125955,0.135428,0.032813,9.73299,0.053231,0.053231,0.053231,-1.55433,2.35242,10.7484,0.606462,15.5095
29.0958,2.98385,-0.0334381,0.125927,0.117077,0.0556529,9.76534,0.0524241,0.0524241,0.0524241,2.36794,-1.61991,8.22026,0.604848,15.5063
29.1959,2.98296,-0.0327792,0.126028,0.114811,0.0644889,9.78222,0.0516827,0.0516827,0.0516827,-4.94832,-3.77239,6.41294,0.603365,15.501
29.2959,2.98138,-0.0307543,0.126571,0.0867224,0.0514039,9.77774,0.0509943,0.0509943,0.0509943,-0.545823,1.96235,12.4161,0.601989,15.4899
29.3958,2.97848,-0.0281089,0.130976,0.0615712,0.0510997,9.78761,0.0510501,0.0510501,0.0510501,-0.801616,1.13642,14.4241,0.6021,15.4665
29.4958,2.97372,-0.024481,0.144246,0.0374203,0.0577868,9.82281,0.0552078,0.0552078,0.0552078,0.46514,0.219883,14.1354,0.610416,15.4185
29.5958,2.96749,-0.0195149,0.169078,0.0260401,0.0672284,9.91,0.081861,0.081861,0.081861,-0.399846,3.02946,8.78754,0.663722,15.3008
29.6958,2.95999,-0.0141489,0.202938,0.00854643,0.192251,9.95144,0.139287,0.139287,0.139287,1.96818,-1.48264,10.7324,0.778574,15.0755
29.7958,2.95205,-0.00866578,0.242646,0.138957,0.188571,10.0144,0.188695,0.188695,0.188695,0.412977,-1.49656,11.1889,0.87739,14.849
29.8959,2.9444,-0.00302518,0.286858,0.258703,0.0395472,10.1246,0.209118,0.209118,0.209118,-3.07661,1.93718,10.7661,0.918236,14.7151
29.9959,2.93727,0.0028054,0.334923,0.0372767,0.115603,10.2023,0.211973,0.211973,0.211973,2.53473,-0.888241,10.2895,0.923946,14.6485
30.0959,2.93114,0.00824249,0.385354,0.124304,0.071075,10.1917,0.210482,0.210482,0.210482,-0.135097,-2.85037,9.38002,0.920964,14.6058
30.1958,2.92578,0.0133941,0.436494,0.155119,-0.217229,10.0358,0.21064,0.21064,0.21064,-0.357246,-1.82918,8.98423,0.921281,14.5631
30.2959,2.92092,0.0178678,0.485735,0.125227,-0.534914,9.77096,0.212437,0.212437,0.212437,1.0868,1.39323,8.04701,0.924874,14.5185
30.3958,2.91646,0.0217524,0.531166,0.190827,-0.538197,9.39533,0.21246,0.21246,0.21246,-0.825134,-1.0604,10.0875,0.924919,14.4837
30.4958,2.91208,0.0253809,0.569353,0.138829,-0.564842,9.18696,0.209448,0.209448,0.209448,1.11608,-0.363968,7.84128,0.918895,14.4606
30.5958,2.90791,0.0285623,0.593833,0.18488,-0.546417,8.92348,0.202551,0.202551,0.202551,-1.26073,-2.19348,6.2165,0.905101,14.4534
30.6959,2.90398,0.0314262,0.604152,0.108278,-0.641236,8.55465,0.189005,0.189005,0.189005,-2.02658,-2.48652,6.92846,0.878009,14.4711
30.796,2.9006,0.0340444,0.607193,-0.0639149,-0.801918,8.22677,0.170706,0.170706,0.170706,1.72892,0.928446,10.5632,0.841411,14.5079
30.8958,2.89776,0.0366153,0.611764,-0.0883074,-0.81973,8.12808,0.153687,0.153687,0.153687,2.50383,0.481132,10.282,0.807374,14.542
30.9958,2.89578,0.0390026,0.621535,0.000442743,-0.776276,8.14592,0.142923,0.142923,0.142923,-0.949694,-1.65659,10.3295,0.785846,14.5611
