Time,PosX,PosY,PosZ,PredDx,PredDy,PredDz,UncertaintyX,UncertaintyY,UncertaintyZ,ActualDx,ActualDy,ActualDz, AdaptiveRSafe,CBFValue
33.2959,5.04161,2.04016,0.126011,0,0,0,0,0,0,0.0520297,-0.284872,9.73233,0.5,40.4133
33.3959,5.0411,2.03981,0.125983,0,0,0,0,0,0,-0.154272,-0.164523,9.79094,0.5,40.4058
33.4959,5.04077,2.03938,0.125967,0,0,0,0,0,0,-0.334667,-0.206673,9.71493,0.5,40.4
33.5959,5.04042,2.03896,0.125991,-0.0281905,-0.0423264,1.88633,0.179615,0.179615,0.179615,-0.335355,-0.584492,9.88034,0.85923,39.9057
33.6959,5.04009,2.03865,0.126028,-0.0602307,-0.0943809,3.41729,0.156198,0.156198,0.156198,-0.334425,-0.131782,9.83778,0.812396,39.9788
33.796,5.03984,2.0384,0.126055,-0.091596,-0.129324,4.65368,0.140069,0.140069,0.140069,-0.35458,-0.190064,9.80091,0.780139,40.0262
33.8959,5.03964,2.03819,0.126045,-0.121204,-0.154685,5.64941,0.128094,0.128094,0.128094,-0.115424,-0.608393,9.86089,0.756187,40.0596
33.9959,5.03937,2.03814,0.125985,-0.141392,-0.184908,6.45243,0.118749,0.118749,0.118749,-0.475729,-0.167697,9.66664,0.737499,40.084
34.0959,5.03905,2.03824,0.125887,-0.163814,-0.205673,7.0949,0.111193,0.111193,0.111193,0.00233219,-0.207735,10.0366,0.722387,40.1027
34.1959,5.03858,2.03853,0.12573,-0.176122,-0.220502,7.61705,0.104921,0.104921,0.104921,-0.216165,-0.112804,9.7253,0.709842,40.1162
34.2959,5.03815,2.03887,0.12556,-0.185786,-0.229049,8.03516,0.0996319,0.0996319,0.0996319,-0.625486,-0.0122734,10.1018,0.699264,40.1273
34.3959,5.03765,2.03932,0.125372,-0.200771,-0.231344,8.37676,0.0950965,0.0950965,0.0950965,-0.117071,-0.168191,10.1354,0.690193,40.1357
34.496,5.03727,2.03973,0.125207,-0.210375,-0.231969,8.65654,0.0911876,0.0911876,0.0911876,-0.448662,0.047715,9.61294,0.682375,40.1435
34.5959,5.03701,2.04026,0.125002,-0.221138,-0.228115,8.87785,0.0877472,0.0877472,0.0877472,-0.526411,-0.773361,9.78266,0.675494,40.1518
34.6959,5.03699,2.0407,0.124842,-0.233514,-0.233062,9.05516,0.0847009,0.0847009,0.0847009,0.187465,-0.33697,9.78784,0.669402,40.1617
34.7959,5.03705,2.04122,0.124682,-0.237102,-0.238152,9.19729,0.0819108,0.0819108,0.0819108,-0.666321,-0.614836,9.84732,0.663822,40.1719
34.8959,5.0373,2.04167,0.124542,-0.245196,-0.246723,9.31201,0.0794113,0.0794113,0.0794113,-0.103165,-0.382776,9.79121,0.658823,40.1834
34.9961,5.03754,2.04224,0.124406,-0.249591,-0.254797,9.404,0.0771036,0.0771036,0.0771036,-0.0963851,-0.351126,9.43967,0.654207,40.1946
35.0961,5.03781,2.04282,0.124263,-0.251172,-0.261991,9.47382,0.0750687,0.0750687,0.0750687,-0.223584,-0.595749,9.32972,0.650137,40.2056
35.1959,5.03801,2.04343,0.124082,-0.252057,-0.271034,9.52507,0.0732518,0.0732518,0.0732518,0.129566,-0.349643,9.48037,0.646504,40.2152
35.2959,5.03837,2.04369,0.12403,-0.248794,-0.278732,9.56343,0.07165,0.07165,0.07165,-0.366156,-0.539968,9.84615,0.6433,40.2247
35.3959,5.0387,2.04401,0.12395,-0.247442,-0.287154,9.59535,0.069998,0.069998,0.069998,0.0417048,-0.256526,10.1084,0.639996,40.2343
35.4959,5.03923,2.04404,0.123875,-0.243678,-0.293303,9.62446,0.0685213,0.0685213,0.0685213,-0.394742,-0.506521,10.0276,0.637043,40.2446
35.5959,5.03962,2.04423,0.123803,-0.242148,-0.299904,9.65032,0.067019,0.067019,0.067019,-0.580922,0.114065,10.2241,0.634038,40.2539
35.6959,5.04016,2.04445,0.123795,-0.243888,-0.301387,9.67505,0.0657226,0.0657226,0.0657226,0.165144,-0.291065,9.38668,0.631445,40.2646
